,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
PHF10,3562
PRRG3,230
GALNT8,15
KCNA5,171
CRACR2A,254
NXNL2,19
STARD8,2425
FAM155B,20
GDPD2,7
SAT1,33541
GNL3L,1685
SH3BP4,2015
MOSPD2,2391
DOCK6,5642
ECSIT,1538
LDLR,8084
ELOF1,1813
TSPAN16,2
ANGPTL8,24
PRKCSH,12255
CNN1,1150
CDC16,3671
ZSCAN10,1
THEM6,1792
NECTIN2,4304
APOE,87044
TOMM40,1622
APOC1,6596
GADD45G,806
LRCH2,671
DPP6,182
XPO7,3419
ACE2,103
FAM98C,837
SAFB2,3944
RPL36,11960
ATP8B3,140
GDF1,0
NCAN,1
KIF1A,14
GTPBP3,1049
PLVAP,1092
BST2,9018
SLC27A1,3465
NSUN5,1057
USHBP1,1076
COLGALT1,8487
DDA1,2031
MRPL34,1745
PGLS,2243
LSM7,1504
TULP4,1961
SNX9,2174
RTN4IP1,190
QRSL1,863
MTRES1,418
RSPH3,1114
MAS1,2
ACSBG2,15
MLLT1,5392
FUT5,0
BMP15,0
AFDN,10950
ACTN4,25155
STK33,523
NDUFA10,4251
EPO,5
ARPC1B,151
CACNG6,62
ZSWIM6,1661
FCHO1,684
UNC13A,21
MAP1S,1971
KLHDC7B,122
PXDN,4383
SSBP4,2207
GDF15,1705
PGPEP1,2561
IQCN,3400
LSM4,2695
JUND,14921
HRC,121
TRPM4,3595
OR11H1,0
SULT4A1,5
ZNF557,345
CRB3,821
OLFM1,417
CAMSAP1,2204
UBAC1,1736
SAG,1
ZBTB46,814
HELZ2,4683
SAMD10,465
LSP1,5468
TNNT3,57
TNNI2,145
COL5A1,4498
ATXN10,3341
TUBGCP2,4429
CALY,13
CYP2E1,154
PNPLA7,2328
HBZ,1
PAK4,3702
MNX1,9
ZNF337,317
CEP85,751
TAF4,1229
GATA5,69
RBBP8NL,141
LAMA5,33189
OSBPL2,3092
ADRM1,1638
ASS1,3282
PRDM12,4
EXOSC2,763
POMT1,2214
UCK1,1273
FIBCD1,199
PRRC2B,8335
CHMP2A,3707
UBE2M,2065
TRIM28,9683
METTL26,1472
YIPF2,1236
ATG4D,806
EIF2S3,11030
TMEM160,231
ZC3H4,2807
NPAS1,54
GMFG,2439
MAP3K10,880
ARHGEF16,941
LRRC47,2492
SESN2,1095
SMPDL3B,290
ATP5IF1,2868
MED18,536
THEMIS2,7379
CLIP1,4328
CCDC62,27
HIP1R,3245
ZNF317,1604
PPAN,156
EIF3G,5510
ANGPTL6,28
SHFL,1237
DNMT1,4395
ZNF426,824
SLC6A8,444
PNCK,9
DKC1,1666
PLXNA3,3949
DUSP9,8
MPP1,2976
ZNF331,3246
ZNF236,1196
SLC7A10,18
LRP3,1169
C12orf65,974
NOL11,1472
UBE4B,3278
CASZ1,2054
PKDREJ,32
HSD17B3,1
NUTM2F,1
HABP4,461
FBP2,4
SLC35D2,251
PRRG1,613
UBA1,15650
RGN,734
POLN,41
PPIL4,1512
ULBP2,65
AKAP12,2587
SYNE1,13486
ULBP3,193
LATS1,2374
EPS8L1,1304
LILRB2,944
AAR2,2069
TTLL9,149
BPIFA2,3
RBM39,12880
COX4I2,990
BPIFA3,0
ZNF341,510
GGT7,1872
DEFB118,0
ACSS2,4436
EDA2R,219
ARHGEF9,1239
C1QL1,5
GFAP,14
PYY,5
HIGD1B,429
ATP6V1E1,4813
ZNF227,386
ZNF428,332
TEX101,4
ZNF141,1195
CCL25,2
COX4I1,9771
EMC8,812
GSE1,7336
AC010531.1,0
GINS2,60
CHMP1A,4675
SH3BGRL,8246
COX7B,2068
SLC34A1,3
F12,45
PRR7,33
NFATC1,1402
IDO1,1435
GJA9,0
CAP1,14612
PPT1,9938
RAB11FIP4,1334
RLIM,2764
CDX4,0
ABCB7,1320
TRAF3,2194
HAUS8,317
ADGRE3,43
MRPS25,2156
SH3BP5,828
HACL1,688
TBC1D5,3875
CAPN7,2156
RFTN1,5505
C3orf20,16
RBSN,2423
GALNT15,49
SLC6A6,6067
KCNC3,984
NAPSA,30617
NR1H2,5621
LRRC4B,652
PDLIM4,205
KIF3A,852
MGAT1,15357
GFPT2,406
TUBG1,717
PSME3,3218
RPL27,16226
PSMC3IP,102
AOC3,14802
ACLY,4503
VPS25,1302
RAMP2,3208
AOC2,91
G6PC,0
NDUFA2,902
ANKHD1,251
DIAPH1,9802
NDFIP1,6484
UBE2D2,3125
EXOC4,2867
ACAP3,3827
C1orf159,1019
ANO1,1175
PPFIA1,2863
TMEM204,3242
KREMEN2,17
THOC6,935
TRAF7,3135
BARX1,3
NINJ1,2858
CA6,2
NPHP4,1213
MAP1B,620
RHOXF2,0
IL13RA1,6627
WDR44,1139
CKMT2,69
ZCCHC9,725
KRT34,0
KRT33B,0
TNS4,55
TOP2A,389
STARD3,4658
RARA,3380
PPP1R1B,1633
KHDRBS3,506
CHD1L,42
PEX11B,1262
FMO5,1198
PIAS3,1683
PRKAB2,1270
FSHB,0
PDHA1,2398
RAI2,1403
MCCC2,2597
ZNF304,701
ZSCAN5A,201
ZNF132,219
USP29,0
SELENOS,2380
CHSY1,2436
SNRPA1,1417
LLGL1,1735
NR0B2,162
LIN28A,0
THAP1,268
RHPN2,464
C19orf12,1399
FAAP24,97
LRRC9,3
ACTR10,2122
ABHD12B,26
GCH1,997
LGALS3,19621
PODNL1,345
DNAJB1,4943
ZSWIM4,562
FBXW9,323
RFX1,1588
ZNF20,19
C19orf57,101
DCAF15,2066
CC2D1A,2911
RTBDN,0
MATN3,635
TRIM21,1394
SPATA6,906
LRRC41,4028
CCT6B,78
DHX30,4280
RAF1,2254
SLC6A11,11
PPARG,1934
NUP210,3730
FCRLA,67
HSD17B7,538
ENOSF1,4451
EMILIN2,3071
SLX1A,2
ARFIP2,2431
TRIM5,1600
CNGA4,58
TRIM22,8639
RRP8,1009
TIMM10B,1294
EFR3A,4591
HHLA1,0
PTCD3,3232
IMMT,3379
MRPL35,933
IQCA1,419
ILKAP,1593
PER2,1351
RAMP1,268
SCLY,162
PTPRE,3610
RAN,5466
PRKAA1,4234
CARD6,1168
RAP1GAP2,1083
CLUH,4025
INPP5K,4010
MYBBP1A,2675
RPA1,3110
SERPINF1,3365
UBE2G1,1941
EEFSEC,1059
TBC1D14,1169
TMEM128,1228
COQ3,199
PNISR,10079
POPDC3,39
SEC61G,1239
LANCL2,754
FIGNL1,420
DDC,72
FTHL17,0
GRSF1,4153
ENAM,20
JCHAIN,11074
ANKRD17,4604
UTP3,1246
ITGB4,1745
WBP2,9770
H3-3B,25667
UNK,2020
TRIM47,1189
ZRANB2,6398
EIF5A,5302
KDM6B,4536
CLEC10A,1119
SLC52A1,69
GUCY2D,42
GPS2,58
XAF1,2970
DLG4,1307
RIDA,516
VPS13B,2522
RGS22,142
MATN2,857
REEP2,42
PCBD2,972
SDF2,1286
FLOT2,6668
ERAL1,1355
PRMT7,1991
NIP7,749
TERF2,1324
VPS4A,1822
MTSS2,733
HSPA12B,1578
ANKEF1,330
SCP2D1,0
PCED1A,2568
SNAP25,25
BTBD3,1897
PCNA,1569
NXT1,402
POLR3F,593
RIN2,6187
PTPRA,4147
SSTR4,7
DAP3,3243
RHBG,4
KHDC4,2776
ATP1A4,15
NES,5578
BCAN,11
CRP,3
ARHGEF11,4630
RAB25,2887
HAPLN2,12
APCS,0
FCRL2,96
DCAF8,3605
SYT11,1445
IGHMBP2,1215
ACY3,21
ALDH3B2,15
TESMIN,49
MMACHC,235
DPH2,582
TOE1,441
NASP,4553
MUTYH,36
CTNNBL1,2077
LPIN3,1601
ZSWIM3,286
RBM38,1474
VSTM2L,360
OSER1,1428
SERINC3,9525
PPP1R3D,490
DMGDH,74
BHMT2,134
AP3B1,2344
ZBED3,955
PATJ,4475
KANK4,439
ANGPTL3,7
SYT4,1
SLC14A2,14
FBXO44,1328
CPLANE2,148
CASP9,838
NMUR2,6
DCTN4,3432
PDE6A,89
ATP8A2,404
MTUS2,32
ZMYM5,890
USPL1,1473
XPO4,2564
TPTE2,2
POMP,2570
CDK8,599
ALOX5AP,3119
WASF3,404
RNF17,2
GPR12,2
CHRM3,187
MYH8,1
MYH10,12138
PEMT,453
SCO1,1330
MPRIP,12732
CHI3L1,7598
MYBPH,98
PIK3C2B,3987
DSTYK,1713
CHIT1,11392
SLC41A1,2830
LGR6,342
TMCC2,317
DCLK1,507
CCNA1,35
COG6,1138
SPART,3470
RXFP2,9
EPSTI1,1972
TRPC4,101
POSTN,1040
RFXAP,391
TPT1,61635
GPALPP1,1438
STOML3,66
KL,493
RFC3,396
STARD13,2648
IRS4,1
MORC4,1002
BEX2,446
RNF128,1982
TBC1D8B,584
TCEAL4,2593
BEX1,49
FAM104A,607
SLC39A11,1474
EPHB2,469
SRRM1,5539
BTBD2,3882
PRAM1,1909
KMT5C,874
ZNF414,583
PDE6B,465
HSPBP1,1470
CSNK1G2,3957
SLF1,449
CNDP2,8948
MACROD1,850
WDR74,768
LGALS12,24
RTN3,7989
PLAAT4,4249
PLAAT2,72
MYH11,11697
CEP20,1576
MED10,1122
PDZD2,5239
MORC2,1801
LARGE1,1120
GSTT2B,150
MYO18B,1
SLC2A11,686
C1QTNF6,799
GGT2,281
FAM83F,43
SEC14L4,596
GIMAP6,3663
GIMAP4,4034
ADCK2,1391
MKRN1,5390
AGAP3,8993
KRBA1,696
ACTR3B,241
NTS,14
BTG1,16049
LRRIQ1,167
C12orf29,563
ATP13A3,4804
SFTPD,37461
DYDC2,55
TMEM254,581
TMTC1,494
KRAS,1994
IPO8,3120
LARS1,4296
SPINK5,227
IMPA1,1205
LRRCC1,785
E2F5,372
CA1,16
CCDC59,880
SWAP70,4708
ARNTL,1605
LYVE1,801
AMPD3,1573
SBF2,1229
MICAL2,6212
RRAS2,1138
HSD17B4,9839
ZFC3H1,2826
TEX15,4
SARAF,15089
RNF122,830
DUSP26,122
DPF2,2313
MEN1,1677
ERG28,1705
GSC,8
DGLUCY,3699
UNC79,20
NUMB,5764
CATSPERB,98
VRTN,1
COX16,208
TTC9,1089
MED6,713
EIF2S1,1980
ADAM20,17
LOXL2,602
ELP3,1559
PEBP4,5118
ADAMDEC1,404
CTIF,4042
MRO,25
MBD2,3516
IER3IP1,1291
MRPS36,815
CCNB1,224
CDK7,768
CD180,508
IRAK2,422
CAMK1,88
THUMPD3,942
VHL,2261
BHLHE40,8448
ARL8B,5815
EDEM1,10268
CNTN6,1014
CHL1,555
MEIS2,1029
DPH6,269
KATNBL1,1657
EMC7,1970
TRPM1,16
GNAT2,4
GSTM1,382
PRPF38B,4568
REG4,2
TSPAN2,341
TSHB,7
GSTM5,669
GSTM3,802
SYT6,7
VAV3,704
CHIA,252
PSRC1,176
HMGCS2,899
PTPN22,989
SORT1,9425
WNT2B,515
PTGFRN,1322
LAMTOR5,1299
ADAM30,1
NOTCH2,10391
TRIM45,389
CEPT1,1814
CD101,376
VTCN1,33
NGF,57
AP4B1,1019
NAPG,1590
SPIRE1,1397
PPHLN1,2105
FKBP11,955
ARF3,7080
TMEM106C,1539
SLC38A2,9659
YWHAQ,7465
KIDINS220,5884
GRHL1,178
ROCK2,4042
RSAD2,2636
MYCN,8
LPIN1,2792
CMPK2,1481
IAH1,1164
LDHA,10452
SAA2,12
ANO3,40
IL6ST,12766
FST,123
CFHR4,0
NAV1,1792
CDC73,2221
TIMM17A,1406
CRB1,10
CFHR5,0
ERN2,105
RPS15A,1870
RAX,0
NARS1,5353
GRP,65
RELCH,2367
FBH1,2756
RBM17,4561
IL2RA,198
ANKRD16,232
ECHDC3,1345
IL15RA,1506
CCNH,1071
HRH4,13
TMEM241,557
KCTD1,329
CABLES1,3739
DOCK2,4680
EMP1,7681
SOX5,488
RERG,890
SLCO1B1,0
KLRD1,1154
KLRC1,30
SPX,87
PRH2,38
LRP4,865
MYBPC3,94
DDB2,1785
ACP2,3288
USP26,0
RTL8C,3206
RAB33A,45
SOX3,1
RBMX2,834
STK26,844
PIWIL4,260
MTNR1B,2
PUM1,5024
SPOCD1,138
YARS1,3846
PHC2,5857
CDCA8,118
GNL2,1787
AGO4,3961
HOOK1,834
CYP2J2,141
BTF3L4,1707
TUT4,2366
PRPF38A,2037
DSC2,1190
DSG3,1
RNF138,1353
ELP2,3255
DSG1,1
DSC3,9
DSC1,2
DTNA,727
FHOD3,157
TPGS2,2867
DAGLA,582
SLC43A3,1641
TIMM10,493
CBLIF,2
DHX34,1375
APLNR,776
FADS2,902
TMEM258,1048
TCN1,17
C5AR2,386
TMEM165,4411
CLOCK,2058
PDGFRA,2549
GGACT,145
COL4A2,24450
CLDN10,35
DZIP1,542
UBAC2,2617
ARGLU1,20256
BIVM,773
ERCC5,145
TPP2,3188
POGLUT2,199
CARS2,3398
ARHGAP32,1567
STT3A,4018
ADAMTS8,3365
ACRV1,2
ETS1,14424
SLC37A2,2759
KLB,145
TMED7,3875
APC,2539
NREP,158
WDR36,1628
OSTF1,3471
RFK,1016
UBQLN1,5212
NAA35,1140
C9orf40,143
ANXA1,21312
CTSL,8186
CEMIP2,6908
AGTPBP1,2469
GOLM1,1485
FAM189A2,5859
PSAT1,238
ISCA1,1348
ADAM19,2196
HAVCR2,2448
CCNJL,1157
TAOK3,3152
USP30,1094
SDS,254
MSI1,25
HNF1A,2
FBXO21,3157
TBX3,3263
OASL,579
HRK,37
RNFT2,131
P2RX4,2251
BICDL1,627
DTX1,163
TRAFD1,2778
DMTF1,4838
OCM2,1
TMEM243,1952
CCDC146,871
TMEM60,563
CD36,15844
UGT2A3,0
CSN2,0
UGT2B28,0
PNPLA8,1808
HILPDA,203
FAM71F1,2
RINT1,683
SRPK2,1708
KCP,150
TES,5065
MDFIC,4348
MTO1,906
ADGRB3,194
ANKRD6,1023
HTR1B,11
KHDC1,93
CEP162,767
SYNCRIP,5482
SNX14,3404
NT5E,553
MRAP2,48
EPHA7,139
AKIRIN2,2392
ORC3,929
LCA5,554
MAP3K7,2328
CGA,0
GJA10,0
PRR5L,2007
LMO2,2281
PHF21A,3047
NAT10,2012
EHF,3339
ELF5,454
PRRG4,1538
CAPRIN1,8165
ATP5MC2,7866
DNAJC14,492
CD63,32072
PRPH,27
AVIL,336
AMHR2,17
LACRT,0
GDF11,528
GLS2,9
ITGA7,768
TESPA1,613
FAM186B,27
RDH5,61
AGAP2,600
BLOC1S1,151
KRT85,1
CDK4,1175
PPP1R1A,10
TROAP,84
TSPAN31,1506
B4GALNT1,45
TFCP2,1755
COQ10A,370
FAIM2,69
PAN2,2135
ESPL1,123
KRT7,11216
ZC3H10,391
HNRNPA1,18309
ACVR1B,1845
OS9,10242
MIP,0
KCNH3,80
LTV1,523
MAP7,1136
CD164,15170
AFG1L,250
NHSL1,4612
AHI1,1476
HEY2,217
PKIB,120
TAAR5,0
NMBR,3
SMPD2,672
MICAL1,11014
REPS1,1772
STX11,3305
TEC,588
PRADC1,472
SEMA4F,735
CCT7,6248
EGR4,3
RAB11FIP5,1639
SMYD5,1030
DYSF,3807
CCDC142,376
EMX1,1
KCNMB4,637
USP15,3398
GNS,14829
CPM,16647
MDM2,4938
KLHL36,3445
BCO1,22
MPHOSPH6,868
CHST5,3
KIAA0513,2227
DYNC1LI2,4803
FBXL8,368
FHOD1,5233
CCDC102A,720
SLC9A5,388
AGT,207
ZNF670-ZNF695,0
PCNX2,856
KCNK1,400
URB2,447
EGLN1,149
CAPN9,477
COG2,1068
ABCB10,1238
NTPCR,1812
TAF5L,1225
GLUL,49034
STX6,2605
RGS8,4
RNASEL,1255
DHX9,6809
KIAA1614,345
CEP350,2784
NPL,4212
NIBAN1,3732
PIGC,1070
LAMC1,7999
RC3H1,2779
GPR55,46
SP110,2387
MRPL44,895
CHRND,2
PAX3,2
DOCK10,2307
TTLL4,1444
USP37,324
HTR2B,12
ITM2C,3165
SLC19A3,1281
SERPINE2,412
DNAJB2,5491
WNT10A,117
TMBIM1,11621
CYP27A1,16945
EIF4E2,2550
ARMC9,860
CAB39,5527
COX5B,2141
REV1,2324
TSGA10,291
MFSD9,596
TMEM127,5641
EDAR,34
TGFBRAP1,1939
GCC2,2408
MRPS9,389
GPR45,9
C2orf49,984
ANKRD36,461
EPC2,1609
ARHGEF4,465
ISCU,5563
ALDH1L2,341
STAB2,133
USP44,595
SCYL2,2893
CKAP4,2577
PLXNC1,4008
APPL2,2264
PWP1,1736
DRAM1,6546
WASHC4,3844
SLC41A2,593
VILL,1397
FLNB,11042
NEK3,1277
PCDH8,0
VPS36,3432
RNASEH2B,2329
CKAP2,539
CNMD,25
TBC1D4,2326
THSD1,1488
BORA,95
LRCH1,2020
SUCLA2,1355
RCBTB1,1956
MED4,1144
PHF11,2509
COG3,1621
LMO7,35911
SCEL,5253
ITM2B,40847
SPRY2,2578
NUDT15,638
EDNRB,8010
RCBTB2,1361
LCP1,17335
SETDB2,1472
SCRN1,2141
C7orf25,9
TNS3,18364
SPDYE1,32
CHST12,2178
IGF2BP3,17
GPNMB,46344
RAPGEF5,3636
RAC1,11850
KDELR2,7265
NUP42,492
IL6,226
ZDHHC4,1014
AOAH,1991
BZW2,1152
DGKB,5
TBRG4,1918
DDX56,3357
HUS1,807
NACAD,284
DBNL,7636
CCM2,3038
MYO1G,3560
TTYH3,5292
MMD2,0
CIDEB,0
TTC5,662
NKX2-8,224
NKX2-1,8845
ZFHX2,196
MTHFS,23
ADAMTS7,788
ABHD17C,2228
IREB2,2996
ALPK3,1493
TM6SF1,306
CIB2,118
CALCOCO2,6747
RSAD1,2044
NMT1,5074
MYCBPAP,107
SRSF1,2416
VEZF1,3585
CHAD,176
TACO1,558
TEX2,2820
DCAF7,7623
GH2,0
CSH1,0
LIMD2,2369
BRIP1,88
KAT7,2460
RTP4,405
ACTL6A,858
NDUFB5,3045
MRPL47,687
TRA2B,5822
SCN2A,40
TBR1,0
MARCHF7,4171
ERMN,196
GALNT5,7416
SCN7A,4441
TANK,2631
BLK,131
GATA4,0
SKIL,3913
EPRS1,4052
HLX,661
VPS45,1725
IL10,37
KCTD3,2068
RPS6KC1,1027
CBWD2,589
IL36G,5
IL1RN,313
IL36A,0
IL36RN,0
IL36B,0
IL1F10,0
CFC1,0
SMPD4,2875
WDR33,4026
CCDC115,2491
SAP130,1484
BIN1,2534
IMP4,1810
HS6ST1,1417
UGGT1,3585
GYPC,2510
STAM,1692
GAD2,0
ABI1,3787
YME1L1,5771
DNAJC1,1774
NIPSNAP3A,1365
LRRC8A,3773
CDK9,4231
TXN,5766
ODF2,1737
ECPAS,6292
TOR1B,1203
C9orf78,2132
SMC2,906
KLF4,5857
TOR1A,1560
RALGPS1,1268
NIBAN2,27501
OR1J1,2
OR13C9,0
ST6GALNAC4,2577
TMOD1,255
DAB2IP,6090
STXBP1,3761
SLC2A8,1108
ANGPTL2,1642
CDK5RAP2,3339
ZFP37,106
SLC31A2,55
SLC31A1,3108
TLR4,3237
ZNF189,1091
ALDOB,38
STX17,2556
PRPF4,1259
FPGS,2905
USP20,2937
BAAT,28
KIF12,437
ATP6V1G1,3944
TEX10,1220
GARNL3,387
MRPL50,829
DPM2,1889
WDR38,125
TSTD2,602
GABBR2,14
HEMGN,8
PSMB7,2867
NR5A1,0
TRMO,897
RABEPK,622
GOLGA1,1843
XPA,721
NCBP1,1831
ANP32B,5462
OR1L4,0
PDCL,1474
RPL35,13568
CTSV,44
LMX1B,3
ARPC5L,1937
ENPP2,5189
DSCC1,133
DERL1,3554
MYC,2123
CCN3,317
IL33,4668
DMAC1,990
RANBP6,1093
POLR1E,721
PLAA,1308
IL11RA,1366
UBAP2,2353
APTX,1272
RNF38,3722
TLN1,30238
CCL21,1411
SIT1,347
IFNA21,1
DMRT1,1
DNAJB5,381
SPAG8,199
DCTN3,1796
CD72,288
TMEM8B,1862
GRHPR,2927
ALDH1B1,693
HINT2,7
ARHGEF39,184
IGFBPL1,70
DENND4C,4103
RPS6,52936
CNPY3,3480
FOXP4,5215
PPIL1,538
KLC4,1817
KIF13A,4272
ZSCAN9,621
PIM1,2995
GMPR,783
CMTR1,3713
TFAP2A,40
SLC22A7,0
YIPF3,4903
TMEM14B,1303
TMEM63B,8734
FRS3,626
TJAP1,2504
CAPN11,12
TINAG,0
HCRTR2,4
KIAA0319,53
IRF4,775
SLC22A23,1276
TUBB2A,163
LRRC1,985
GCM1,3
FOXF2,981
BPHL,347
RIPK1,2843
TUBB2B,18
UQCC2,633
HMGA1,3896
TCF19,572
FLOT1,6789
IER3,341
MDC1,1977
PGBD1,320
ATAT1,554
TPMT,1141
CLPS,0
RNF144B,5966
NRM,552
MTCH1,11528
VARS2,17
TAF8,1901
FAM8A1,2980
C6orf52,16
FGFBP1,47
FGFBP2,250
CPEB2,2328
FHDC1,2819
TLR2,4856
MGARP,7
TTC29,46
MYO7A,614
FCHSD2,3122
ARRB1,4152
SLCO2B1,14062
THAP12,1754
ANKRD42,714
IL18BP,2166
NUMA1,14588
CCDC90B,1120
SYTL2,1673
RAB30,872
CREBZF,6221
LRRC32,5762
PRCP,5155
NARS2,914
RNF121,912
MRPL15,955
PI15,31
TTPA,65
GGH,559
SLCO5A1,84
SULF1,896
TGS1,1024
SDCBP,18067
NEK1,783
DDX60,3217
NXPE4,4
SORL1,5166
TMPRSS4,188
BUD13,932
TRPC6,1968
MMP7,929
MMP20,0
MMP27,0
CFAP300,104
DCUN1D5,633
YAP1,5519
TRIM29,148
SLC37A4,1117
BTG4,6
POU2F3,235
RDX,9218
PPP2R1B,1409
FDX1,2463
C11orf1,378
FXYD6,803
ARHGAP20,748
FXYD2,36
MMP13,7
TMPRSS13,815
CASP1,2686
CASP5,30
ALKBH8,582
MAP2K5,961
UNC13C,9
SQOR,1935
CTDSPL2,1798
SLTM,5071
THBS1,14161
MAPKBP1,1283
NUSAP1,15
NDUFAF1,670
KIF23,174
ITGA11,226
KNL1,117
HAUS2,784
RTF1,3133
PARP6,3163
RPLP1,39884
PAQR5,780
LRRC49,307
TUBGCP4,601
RMDN3,5299
ITPKA,56
UACA,5920
SMAD6,3152
PLCB2,8989
TMEM62,851
PAK6,461
ADAM10,6634
DUOX1,14502
SLC28A2,7
STRA6,26
CYP19A1,16
ZNF280D,1526
SEMA6D,1900
BCL2L10,1
RSL24D1,3446
SPTBN5,163
GCOM1,705
GCHFR,44
BCAR3,1337
TTLL7,779
FNBP1L,3088
KYAT3,1107
GTF2B,1085
BRDT,5
RABGGTB,3061
IFI44L,5695
GIPC2,300
ARHGAP29,6923
IFI44,4124
SLC44A5,531
CLCA2,9
DNASE2B,168
DBT,1453
RTCA,1606
IFT172,1846
SELENOI,1121
CGREF1,7
HADHB,5543
KHK,211
ADCY3,1617
PPM1B,1536
PNPT1,1403
DYNC2LI1,1314
LHCGR,2
THUMPD2,654
CYP1B1,1928
SULT6B1,1
RAB1A,6246
ACTR2,13646
PREB,2139
SLC5A6,995
ABCG5,10
PREPL,2300
SLC3A1,3
EMILIN1,5787
FBXO11,1572
SIX3,9
ATRAID,3130
CENPO,200
LRPPRC,5048
TRIM54,8
DTNB,1038
ACTR1A,5958
CYP2C9,180
MFSD13A,1148
CYP2C8,64
MYOF,9664
LOXL4,581
STAMBPL1,702
CH25H,515
LBX1,9
ATAD1,2449
BTBD16,21
KIF11,254
CUZD1,3
TACC2,3955
DUSP5,1727
CALHM2,1031
ARL3,940
CEP55,110
KIF20B,372
ENTPD1,1504
EXOC6,1521
PLCE1,1275
RBP4,228
DBR1,927
DNAJC13,4098
GPR87,0
ANXA7,4013
FAM149B1,1030
ASCC1,977
PLA2G12B,165
ZNF365,97
OIT3,70
ADAMTS14,271
RPS24,30023
TET1,136
DNA2,226
MYPN,1
AOX1,613
ATIC,2073
SMARCAL1,1058
BARD1,452
STAT4,666
MSTN,31
CARF,991
ASNSD1,679
METTL5,513
SSB,2076
NAB1,1624
CDK15,61
PPIG,3339
FASTKD1,1052
MDH1B,99
HECW2,1316
IDH1,6514
OLA1,2069
CIR1,2279
ITPRID2,9949
CHRNA1,80
FAM117B,992
WDR12,754
ABI2,3671
ITGAV,5220
SLC40A1,19978
SLC35A5,1784
SLC49A4,1070
SENP7,2253
GUCA1C,0
CCDC54,11
COX17,860
PARP9,4935
MNS1,148
USP8,1737
SECISBP2L,7566
TMOD3,7446
SPPL2A,4467
GLCE,1358
SHF,248
APH1B,1503
INTS14,1764
CILP,111
PARP16,643
PPCDC,464
HCN4,21
SEMA7A,652
UBL7,2072
ARHGAP24,1046
FAM13A,1530
HERC3,31
HERC6,2187
HERC5,891
PCDH10,144
NDST4,0
ZGRF1,313
AP1AR,1003
COPS4,1336
HNRNPD,8588
PRKG2,908
RASGEF1B,3982
SEC31A,7520
FGF5,0
GPAT3,539
IL21,8
FGF2,550
BBS7,582
KIAA1109,6818
BMPR1B,206
RAP1GDS1,1757
LARP1B,912
MMRN1,750
PDE5A,3070
PRDM5,883
TRPC3,113
NAAA,1689
NUP54,1372
CXCL9,3378
BMP2K,751
G3BP2,5287
SEPTIN11,5090
FRAS1,2674
SCARB2,13855
CCNG2,2640
CNOT6L,3410
USO1,4107
CDKL2,812
SHROOM3,3792
ANXA3,9592
PPA2,1893
CENPE,138
GSTCD,385
INTS12,452
ENPEP,864
CASP6,769
LEF1,552
HADH,2320
EGF,124
PAPSS1,3666
SEC24B,2456
C4orf17,0
PPP3CA,3253
SLC39A8,26655
MTTP,22
FBN2,21
MAPK8IP3,6118
RGS3,4403
GUCD1,5450
TTLL8,0
RNF185,1560
SHISAL1,51
PARVG,3371
B4GALNT3,2243
PDE6H,2
ERP27,1134
ETV6,2698
GABARAPL1,5743
KIF21A,745
CPNE8,1019
YARS2,458
FGD4,2392
ALG10,133
PIK3C2G,3
SINHCAF,1365
PLCZ1,0
AEBP2,2017
SLCO1C1,25
ETFBKMT,208
ETNK1,3980
ZCRB1,1568
TMEM117,130
PRICKLE1,919
C1RL,3104
NDUFA9,445
CLSTN3,3263
KLRG1,263
VAMP1,726
TAPBPL,1758
CD27,180
RBP5,259
PEX5,2892
PIANP,96
SLC38A4,17
AMIGO2,1679
SCAF11,7303
COL2A1,6
PPFIA2,57
ANP32D,0
LLPH,522
LRIG3,1065
MARCHF9,1416
INHBE,0
GLIPR1,1600
TPH2,0
PHLDA1,2790
TMEM19,1156
LGR5,60
PTPRQ,1065
DUSP6,7882
POC1B,944
TMTC3,1035
LUM,26442
KERA,4
SNRPF,812
AMDHD1,85
NEDD1,1008
SYCP3,43
ASCL1,3
GAS2L3,551
TMEM132B,13
SLC15A4,1741
TDG,811
RITA1,670
SDSL,529
MMAB,1046
GLTP,2573
GIT2,1229
TCHP,1075
FAM222A,52
FOXN4,3
NUP58,3111
MTMR6,2333
SLC46A3,1782
SLC7A1,1333
PDX1,0
LNX2,2523
SUOX,1341
CCDC65,265
SLC39A5,23
TARBP2,1280
RDH16,75
DHH,42
ACVRL1,8854
GPR84,43
NPFF,0
NABP2,653
N4BP2L1,2884
CELA1,0
SMARCC2,4802
BRCA2,654
KANSL2,1377
CERS5,1889
MAP3K12,1448
ITGB7,445
GALNT6,1027
CSAD,2162
LMBR1L,2803
MYG1,1
ESYT1,7323
TMBIM6,43604
ANKRD52,3003
KRT71,1
ZNF740,1897
SMIM2,1
WDFY2,1476
HNRNPA1L2,178
LPAR6,2020
ESD,3482
RB1,2536
SBNO1,2259
MORN3,150
SETD1B,3111
VPS33A,645
VPS37B,3375
RHOF,134
DENR,2347
DIAPH3,428
SLAIN1,763
RBM26,3938
SRRM4,56
METTL21C,6
MBNL2,4127
RNF113B,1
ZIC5,0
ABHD13,1280
RAB20,2603
GRTP1,242
CUL4A,4290
TTC6,208
SSTR1,1163
CDH24,455
REM2,30
CBLN3,421
TSSK4,139
NOVA1,74
FITM1,35
MDGA2,3
TMX1,2723
FRMD6,842
PELI2,1201
